,,,
,,,
,"""2.5""","""Алюминий""","""30"""
,"""2.5""","""Медь""","""17.76"""
,"""4""","""Алюминий""","""18.72"""
,"""4""","""Медь""","""11.12"""
,"""6""","""Алюминий""","""12.5"""
,"""6""","""Медь""","""7.4"""
,"""10""","""Алюминий""","""7.43"""
,"""10""","""Медь""","""4.42"""
,"""16""","""Алюминий""","""4.68"""
,"""16""","""Медь""","""2.78"""
,"""25""","""Алюминий""","""3"""
,"""25""","""Медь""","""1.776"""
,"""35""","""Алюминий""","""2.14"""
,"""35""","""Медь""","""1.272"""
,"""50""","""Алюминий""","""1.5"""
,"""50""","""Медь""","""0.888"""
,"""70""","""Алюминий""","""1.072"""
,"""70""","""Медь""","""0.636"""
